msgid,msgstr
Deployments,部署
So you've made a really cool chain - now what? How do you deploy it and make it easily sharable with the world?,所以你已经做了一个非常酷的链条——现在呢？您如何部署它并使其易于与全世界共享？
"This section covers several options for that. Note that these are meant as quick deployment options for prototypes and demos, and not for production systems. If you are looking for help with deployment of a production system, please contact us directly.",本节将介绍这方面的几个选项。请注意，这些是原型和演示的快速部署选项，而不是生产系统。如果您正在寻求生产系统部署方面的帮助，请直接联系我们。
"What follows is a list of template GitHub repositories aimed that are intended to be very easy to fork and modify to use your chain. This is far from an exhaustive list of options, and we are EXTREMELY open to contributions here.",下面是一个模板GitHub存储库列表，旨在非常容易地派生和修改以使用您的链。这远不是一份详尽的选择清单，我们非常愿意在这里发表意见。
[Streamlit](https://github.com/hwchase17/langchain-streamlit-template),[Streamlit](https://github.com/hwchase 17/langchain-streamlit-template）
This repo serves as a template for how to deploy a LangChain with Streamlit. It implements a chatbot interface. It also contains instructions for how to deploy this app on the Streamlit platform.,这个repo作为如何使用Streamlit部署LangChain的模板。它实现了一个聊天机器人界面。它还包含如何在Streamlit平台上部署此应用程序的说明。
[Gradio (on Hugging Face)](https://github.com/hwchase17/langchain-gradio-template),[Gradio（拥抱脸）](https://github.com/hwchase 17/langchain-gradio-template）
"This repo serves as a template for how deploy a LangChain with Gradio. It implements a chatbot interface, with a ""Bring-Your-Own-Token"" approach (nice for not wracking up big bills). It also contains instructions for how to deploy this app on the Hugging Face platform. This is heavily influenced by James Weaver's [excellent examples](https://huggingface.co/JavaFXpert).",这个repo作为如何使用Gradio部署LangChain的模板。它实现了一个聊天机器人界面，采用了“自带令牌”的方法（这对于避免大笔账单来说很好）。它还包含如何在拥抱脸平台上部署该应用程序的说明。这在很大程度上受到了James Weaver的[优秀示例]（https://huggingface.co/JavaFXpert）的影响。
[Beam](https://github.com/slai-labs/get-beam/tree/main/examples/langchain-question-answering),[Beam](https://github.com/slai-labs/get-beam/tree/main/examples/langchain-question-answering）
This repo serves as a template for how deploy a LangChain with [Beam](https://beam.cloud).,这个repo作为如何使用【Beam】（https：//Beam）部署LangChain的模板。云）。
It implements a Question Answering app and contains instructions for deploying the app as a serverless REST API.,它实现了一个问答应用程序，并包含将该应用程序部署为无服务器REST API的说明。
[Vercel](https://github.com/homanp/vercel-langchain),[Vercel](https://github.com/homanp/vercel-langchain）
A minimal example on how to run LangChain on Vercel using Flask.,关于如何使用Flask在Vercel上运行LangChain的最小示例。
[Fly.io](https://github.com/fly-apps/hello-fly-langchain),[Fly.io](https://github.com/fly-apps/hello-fly-langchain）
A minimal example of how to deploy LangChain to [Fly.io](https://fly.io/) using Flask.,如何使用Flask将LangChain部署到【fly.io】（https：//fly.io/）的最小示例。
[Digitalocean App Platform](https://github.com/homanp/digitalocean-langchain),[Digitalocean应用平台](https://github.com/homanp/digitalocean-langchain）
A minimal example on how to deploy LangChain to DigitalOcean App Platform.,如何将LangChain部署到DigitalOcean应用平台的最小示例。
[Google Cloud Run](https://github.com/homanp/gcp-langchain),[Google Cloud Run](https://github.com/homanp/gcp-langchain）
A minimal example on how to deploy LangChain to Google Cloud Run.,一个关于如何将LangChain部署到Google Cloud Run的最小示例。
[SteamShip](https://github.com/steamship-core/steamship-langchain/),[SteamShip](https://github.com/steamship-core/steamship-langchain/）
"This repository contains LangChain adapters for Steamship, enabling LangChain developers to rapidly deploy their apps on Steamship. This includes: production ready endpoints, horizontal scaling across dependencies, persistant storage of app state, multi-tenancy support, etc.",这个存储库包含用于Steamship的LangChain适配器，使LangChain开发人员能够在Steamship上快速部署他们的应用程序。这包括：生产就绪端点、跨依赖项的水平扩展、应用状态的持久存储、多租户支持等。
[Langchain-serve](https://github.com/jina-ai/langchain-serve),[Langchain-serve](https://github.com/jina-ai/Langchain-serve）
"This repository allows users to serve local chains and agents as RESTful, gRPC, or Websocket APIs thanks to [Jina](https://docs.jina.ai/). Deploy your chains & agents with ease and enjoy independent scaling, serverless and autoscaling APIs, as well as a Streamlit playground on Jina AI Cloud.",由于【纪娜】（https：//docs），这个存储库允许用户将本地链和代理作为RESTful、gRPC或Websocket APIs提供服务。纪娜。ai/）。轻松部署您的链和代理，享受独立扩展、无服务器和自动扩展API，以及纪娜人工智能云上的Streamlit游乐场。
[BentoML](https://github.com/ssheng/BentoChain),[BentoML](https://github.com/ssheng/BentoChain）
"This repository provides an example of how to deploy a LangChain application with [BentoML](https://github.com/bentoml/BentoML). BentoML is a framework that enables the containerization of machine learning applications as standard OCI images. BentoML also allows for the automatic generation of OpenAPI and gRPC endpoints. With BentoML, you can integrate models from all popular ML frameworks and deploy them as microservices running on the most optimal hardware and scaling independently.",这个存储库提供了一个如何使用【BentoML】（https：//github.com/BentoML/BentoML）部署LangChain应用程序的示例。BentoML是一个框架，能够将机器学习应用程序容器化为标准的OCI图像。BentoML还允许自动生成OpenAPI和gRPC端点。使用BentoML，您可以集成所有流行的ML框架中的模型，并将它们部署为运行在最佳硬件上并独立扩展的微服务。
[Databutton](https://databutton.com/home?new-data-app=true),[Databutton](https://databutton.com/home？new-data-app=true）
"These templates serve as examples of how to build, deploy, and share LangChain applications using Databutton. You can create user interfaces with Streamlit, automate tasks by scheduling Python code, and store files and data in the built-in store. Examples include Chatbot interface with conversational memory, Personal search engine, and a starter template for LangChain apps. Deploying and sharing is one click.",这些模板是如何使用Databutton构建、部署和共享LangChain应用程序的示例。您可以使用Streamlit创建用户界面，通过调度Python代码来自动化任务，并在内置存储中存储文件和数据。例子包括带有对话记忆的聊天机器人界面、个人搜索引擎和LangChain应用程序的入门模板。部署和共享一键完成。
LangChain Ecosystem,LangChain生态系统
